# magnetic_north_deg=0
# noise_stddev=2.2461024
# seed=12345
# convention: relative_angle = magnetic_north_angle - robot_angle
angle,mag_x,mag_y,mag_z
0,-442,-141,-192
0,-442,-141,-198
0,-441,-143,-192
0,-442,-142,-191
5,-422,-155,-202
5,-427,-148,-197
5,-421,-152,-195
5,-422,-150,-194
10,-407,-158,-197
10,-400,-162,-198
10,-399,-162,-197
10,-403,-160,-195
15,-383,-173,-196
15,-383,-172,-197
15,-382,-173,-202
15,-384,-169,-204
20,-365,-181,-208
20,-365,-182,-201
20,-365,-182,-203
20,-362,-184,-200
25,-348,-197,-203
25,-345,-199,-208
25,-347,-197,-203
25,-345,-198,-202
30,-330,-210,-206
30,-330,-214,-204
30,-326,-215,-205
30,-329,-214,-206
35,-315,-229,-211
35,-310,-230,-207
35,-313,-230,-209
35,-314,-230,-210
40,-304,-247,-214
40,-303,-245,-212
40,-300,-250,-216
40,-301,-247,-211
45,-288,-266,-212
45,-287,-265,-214
45,-290,-266,-214
45,-289,-265,-221
50,-278,-286,-215
50,-273,-287,-218
50,-275,-289,-219
50,-276,-289,-217
55,-266,-309,-220
55,-266,-308,-221
55,-270,-309,-222
55,-262,-309,-222
60,-261,-331,-225
60,-258,-331,-224
60,-260,-331,-221
60,-257,-332,-220
65,-249,-355,-223
65,-249,-355,-232
65,-252,-352,-225
65,-249,-354,-224
70,-242,-376,-227
70,-245,-378,-226
70,-244,-377,-226
70,-246,-378,-226
75,-244,-399,-225
75,-247,-397,-226
75,-242,-400,-230
75,-246,-401,-236
80,-243,-424,-230
80,-238,-422,-229
80,-241,-424,-231
80,-244,-422,-225
85,-241,-444,-231
85,-241,-446,-231
85,-243,-446,-231
85,-238,-446,-231
90,-242,-467,-231
90,-242,-467,-231
90,-237,-469,-237
90,-241,-468,-231
95,-251,-492,-232
95,-247,-493,-232
95,-250,-490,-233
95,-245,-496,-234
100,-250,-514,-230
100,-257,-511,-235
100,-256,-515,-231
100,-255,-514,-231
105,-264,-531,-233
105,-265,-534,-233
105,-260,-534,-231
105,-259,-536,-231
110,-275,-551,-235
110,-266,-553,-239
110,-273,-553,-236
110,-275,-554,-233
115,-286,-571,-237
115,-278,-571,-238
115,-284,-574,-234
115,-290,-571,-237
120,-298,-589,-236
120,-303,-587,-239
120,-300,-587,-234
120,-299,-588,-236
125,-314,-603,-234
125,-314,-601,-236
125,-315,-603,-235
125,-313,-604,-235
130,-329,-616,-231
130,-332,-617,-234
130,-332,-619,-235
130,-328,-616,-230
135,-348,-632,-233
135,-350,-631,-232
135,-348,-631,-231
135,-345,-631,-228
140,-369,-641,-231
140,-368,-641,-230
140,-370,-639,-226
140,-368,-643,-234
145,-388,-647,-227
145,-392,-648,-231
145,-391,-650,-230
145,-392,-648,-231
150,-407,-655,-226
150,-403,-654,-232
150,-408,-655,-226
150,-409,-654,-229
155,-437,-657,-227
155,-428,-663,-226
155,-431,-660,-223
155,-432,-659,-227
160,-452,-663,-225
160,-451,-663,-228
160,-455,-663,-222
160,-453,-664,-228
165,-479,-662,-231
165,-475,-662,-222
165,-478,-660,-221
165,-475,-663,-227
170,-502,-660,-229
170,-497,-661,-222
170,-495,-660,-224
170,-501,-658,-227
175,-519,-655,-220
175,-521,-655,-219
175,-521,-655,-221
175,-518,-653,-218
180,-543,-649,-220
180,-542,-649,-218
180,-545,-648,-218
180,-544,-648,-221
